case,date,year,type,country,area,activity,sex,age,injury,dead,especie,resolucion,genre
2018.02.23,23-Feb-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,Swimming,F,55,Laceratons to right leg & foot,N,"Juvenile white shark,  2.7 to 3.2 m",bite,f
2018.02.17,18-Feb-2018,2018.0,Provoked,AUSTRALIA,Victoria,Kayak fishing for sharks,M,34,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",N,,no injury,m
2018.02.15,15-Feb-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,Walking,M,35,Puncture wounds to leff foot & lower leg,N,"Bull shark, 2 m",bite,m
2018.02.14,14-Feb-2018,2018.0,Invalid,AUSTRALIA,Queensland,Swimming,F,,"Collision / No injury, no attack",N,Possibly a wobbegong,no injury,f
2018.02.11,11-Feb-2018,2018.0,Invalid,BRAZIL,"Boi Island, Victoria",Cleaning fish,F,46,Lacerations to 4 toes of right foot,N,"Injury believed caused by an eel, not a shark",bite,f
2018.02.03,03-Feb-2018,2018.0,Unprovoked,ECUADOR,Galapagos Islands,Snorkeling,M,45,Injuries to right foot,N,Galapagos shark?,bite,m
2018.02.01,01-Feb-2018,2018.0,Invalid,AUSTRALIA,Western Australia,Spearfishing,M,14,"No injury no attack. This is considerd an ""encounter""",N,2m shark,no injury,m
2018.01.28,28-Jan-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,,M,18,Injuries to right leg,N,Bull shark,bite,m
2018.01.21,21-Jan-2018,2018.0,Unprovoked,NEW CALEDONIA,,Spearfishing,M,40s,Injuries to abdomen and arm,N,"Bull shark, 3 m ",bite,m
2018.01.14,14-Jan-2018,2018.0,Unprovoked,AUSTRALIA,Queensland,Diving,M,,Severe laceration to left forearm,N,Grey reef shark. 2 m,bite,m
2018.01.13,13-Jan-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,Free diving,M,28,"No injury, shark took his swimfin",N,"White shark, 3.5 m",no injury,m
2018.01.12,12-Jan-2018,2018.0,Unprovoked,BRAZIL,Fernando de Noronha,Surfing,M,20,Minor injury to left forearm,N,small shark,bite,m
2018.01.05,05-Jan-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,,Foot bitten,N,Wobbegong shark?,bite,m
2017.12.31,31-Dec-2017,2017.0,Unprovoked,USA,Hawaii,Surfing,F,54,Severe lacerations to left thigh & knee,N,Tiger shark,bite,f
2017.12.30,30-Dec-2017,2017.0,Unprovoked,USA,California,Surfing,F,35,Foot bitten,N,,bite,f
2017.12.21,21-Dec-2017,2017.0,Provoked,MALAYSIA,Sepang,Fishing / Wading,M,24,"Minor injury to thigh, PROVOKED INCIDENT",N,Juvenile nurse shark,bite,m
2017.12.09,09-Dec-2017,2017.0,Unprovoked,BAHAMAS,,Snorkeling,F,25,Minor injury to arm,N,Nurse shark. 5',bite,f
2017.11.30.b,30-Nov-2017,2017.0,Unprovoked,COSTA RICA,Cocos Island,Scuba Diving,M,26,Serious injury to leg,N,"Tiger shark, female",bite,m
2017.11.30.a,30-Nov-2017,2017.0,Unprovoked,COSTA RICA,Cocos Island,Scuba diving,F,49,FATAL,Y,"Tiger shark, female",death,f
2017.11.25.R,Reported 25-Nov-2017,2017.0,Sea Disaster,LIBYA,,2 boats capsized,,,FATAL,Y,Some drowned but other may have been killed by blue sharks,death,
2017.11.24,24-Nov-2017,2017.0,Unprovoked,USA,California,Spearfishing,M,25,Right leg bitten,N,"White shark, 4.6 m",bite,m
2017.11.18,18-Nov-2017,2017.0,Unprovoked,USA,Florida,Surfing,F,14,Heel bitten,N,,bite,f
2017.11.13.R,Reported 13-Nov-2017,2017.0,Unprovoked,,,Surfing,M,24,Puncture wounds to feet,N,,bite,m
2017.11.13,13-Nov-2017,2017.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,25,Puncture wounds to left shoulder,N,2 m shark,bite,m
2017.11.04,04-Nov-2017,2017.0,Unprovoked,CUBA,Holquin Province,Night bathing,M,22,FATAL,Y,Tiger shark,death,m
2017.10.31.R,Reported 31-Oct-2017,2017.0,Unprovoked,AUSTRALIA,Queensland,Snorkeling,M,7,Calf injured,N,Cookiecutter shark,bite,m
2017.10.28,28-Oct-2017,2017.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,31,Minor injury to foot,N,"Wobbegong shark, 1 m",bite,m
2017.10.26,26-Oct-2017,2017.0,Unprovoked,USA,Hawaii,Stand-Up Paddleboarding,M,,No injury but shark bit SUP,N,,no injury,m
2017.10.23.c,23-Oct-2017,2017.0,Unprovoked,MAURITIUS,Pamplemousses ,Swimming,M,,Minor injury to foot,N,,bite,m
2017.10.23.b,23-Oct-2017,2017.0,Unprovoked,USA,Florida,Surfing ,M,17,Lacerations to left foot,N,,bite,m
2017.10.23.a,23-Oct-2017,2017.0,Unprovoked,USA,Florida,Swimming,F,60,Severe lacerations to left hand & wrist,N,,bite,f
2017.10.22,22-Oct-2017,2017.0,Unprovoked,AUSTRALIA,South Australia,Kayaking / Fishing,F,15,Minor injuries,N,"White shark, 4.5 m",bite,f
2017.10.21,21-Oct-2017,2017.0,Unprovoked,NEW ZEALAND,North Island,Kayaking,M,,"No injury, shark shook kayak x3 ",N,2 m shark,no injury,m
2017.10.18,18-Oct-2017,2017.0,Unprovoked,USA,Florida,Swimming,M,,Puncture wounds & lacerations to foot,N,"Spinner shark, 4 to 5 feet",bite,m
2017.10.09,09-Oct-2017,2017.0,Unprovoked,USA,Hawaii,Surfing,M,54,Lacerations to left hand,N,"Tiger shark, 8 to 10 feet",bite,m
2017.10.05,05-Oct-2017,2017.0,Unprovoked,USA,Hawaii,Snorkeling,F,40,Abrasions,N,8' shark,bite,f
2017.10.01,01-Oct-2017,2017.0,Invalid,SOUTH AFRICA,Western Cape Province,Scuba Diving,M,31,FATAL,,Death may have been due to drowning,death,m
2017.09.25.b,25-Sep-2017,2017.0,Unprovoked,USA,Florida,Surfing,M,,Lacerations to lower left leg and foot,N,5' shark,bite,m
2017.09.25.a,25-Sep-2017,2017.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,,"No injury, board damaged by shark",N,"White shark, 3.5 m",no injury,m
2017.09.24.b,24-Sep-2017,2017.0,Invalid,USA,New York,Surfing,M,33,"Lacerations to right ankle, foot & toe",,Questionable,bite,m
2017.09.24.a,24-Sep-2017,2017.0,Unprovoked,USA,Florida,Surfing,M,,Laceration to upper arm,N,4' to 5' shark,bite,m
2017.09.20,20-Sep-2017,2017.0,Unprovoked,USA,Florida,Surfing,M,,Minor lacerations to sole of left foot,N,,bite,m
2017.09.16.b,16-Sep-2017,2017.0,Unprovoked,SPAIN,Canary Islands,Body surfing,M,13,Lacerations to right foot,N,"Porbeagle, 1.5 m",bite,m
2017.09.16.a,16-Sep-2017,2017.0,Unprovoked,USA,Florida,Surfing,M,28,Lacerations to left foot,N,,bite,m
2017.09.15.b,15-Sep-2017,2017.0,Invalid,SOUTH AFRICA,Western Cape Province,Scuba Diving,M,25,"FATAL, but death was probably due to drowning",,,death,m
2017.09.15.a,15-Sep-2017,2017.0,,SAMOA, Upolu Island,Fishing,M,,Injuries to hands and legs,N,,bite,m
2017.09.14,Sep-2017,2017.0,Boating,AUSTRALIA,Westerm Australia,Fishing,,,"sharks rammed boats, no injury to occupants",N,"White shark, 3.5m",no injury,
2017.09.13,13-Sep-2017,2017.0,Unprovoked,USA,Florida,Surfing,M,18,Lacerations to left foot,N,5' to 6' shark,bite,m
2017.09.10.b,10-Sep-2017,2017.0,Unprovoked,AUSTRALIA,Westerm Australia,Swimming,M,,Minor injuries,N,,bite,m
2017.09.10.a,10-Sep-2017,2017.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,35,Minor lacerations to right hip,N,"White shark, 3 to 3.5m ",bite,m
2017.09.06.R,Reported 06-Sep-2017,2017.0,Unprovoked,SOLOMON ISLANDS,,Spearfishing,M,,Foot bitten,N,,bite,m
2017.09.03.b,03-Sep-2017,2017.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Swimming, poaching abalone",M,,FATAL,Y,,death,m
2017.09.03.a,03-Sep-2017,2017.0,Unprovoked,JAPAN,Shizuoka Prefecture,Surfing,M,42,Injury to ankle & feet,N,,bite,m
2017.09.02.c,02-Sep-2017,2017.0,Unprovoked,USA,Florida,Swimming,M,,Lacerations to abdomen,N,Nurse shark,bite,m
2017.09.02.b,02-Sep-2017,2017.0,Unprovoked,USA,Texas,Swimming,F,,Lacerations to foot,N,,bite,f
2017.09.02.a,02-Sep-2017,2017.0,Unprovoked,USA,Florida,Surfing,M,17,Minor injury to right hand,N,,bite,m
2017.08.29,29-Aug-2017,2017.0,Unprovoked,AUSTRALIA,Victoria,Surfing,M,37,"No injury, board bitten",N,"White shark, 3 m",no injury,m
2017.08.27,27-Aug-2017,2017.0,Unprovoked,USA,Florida,Wading,F,3,Leg injured,N,,bite,f
2017.08.26.b,26-Aug-2017,2017.0,Invalid,SPAIN,Castellón,Swimming,F,11,Lacerations to left foot,,Shark involvement questionable,bite,f
2017.08.26.a,26-Aug-2017,2017.0,Unprovoked,NEW ZEALAND,North Island,Canoeing,M,,"No injury, shark bit canoe",N,,no injury,m
2017.08.23,23-Aug-2017,2017.0,Unprovoked,USA,Massachusetts,SUP,M,69,Not injured by shark but board bitten,N,"White shark, 5' to 7'",bite,m
2017.08.18,18-Aug-2017,2017.0,Unprovoked,BAHAMAS,,Spearfishing,M,,Hand injured,N,5' shark,bite,m
2017.08.10,10-Aug-2017,2017.0,Unprovoked,USA,South Carolina,Swimming,M,13,Minor cuts to sole & toes of left foot,N,Possibly a juvenile blacktip shark,bite,m
2017.08.05,05-Aug-2017,2017.0,Unprovoked,EGYPT,Red Sea Protectorate,Snorkeling,F,20,Bite to right leg/hip,N,"Oceanic whitetip shark, 1.8 to 2 m",bite,f
2017.08.03,03-Aug-2017,2017.0,Provoked,USA,Massachusetts,Fishing,M,34,Foot bitten by landed shark PROVOKED INCIDENT,N,4' shark,bite,m
2017.08.01,01-Aug-2017,2017.0,Boating,USA,California,Kayaking / Fishing,M,,"No injury, bow of kayak bitten",N,"White shark, 10'",no injury,m
2017.07.31,31-Jul-2017,2017.0,Unprovoked,USA,Florida,Skimboarding,M,15,Lacerations to lower leg,N,,bite,m
2017.07.29.c,29-Jul-2017,2017.0,Invalid,USA,South Carolina,Swimming,M,10,Abrasions and cuts to sole of foot,,A small shark,bite,m
2017.07.29.a,29-Jul-2017,2017.0,Unprovoked,USA,South Carolina,,F,12,Bite to left thigh / minor injury,N,,bite,f
2017.07.27,27-Jul-2017,2017.0,Unprovoked,BAHAMAS,New Providence District,Snorkeling,F,,Foot & ankle injured,N,,bite,f
2017.07.26.R,Reported 26-Jul-2017,2017.0,Unprovoked,BAHAMAS,40 miles off Grand Bahama Island,Spearfishing,M,,Severe lacerations to left hand,N,,bite,m
2017.07.24,24-Jul-2017,2017.0,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,Surfing,M,37,Torso bitten,N,,bite,m
2017.07.23.b,23-Jul-2017,2017.0,Unprovoked,USA,New Jersey,,F,,Minor injury to hand,N,Sandtiger shark  2',bite,f
2017.07.23.a,23-Jul-2017,2017.0,Unprovoked,SPAIN,Majorca,Swimming,F,,Abrasion to arm from shark's rough skin,N,Blue shark 6',bite,f
2017.07.22,22-Jul-2017,2017.0,Unprovoked,USA,Florida,,F,40,Foot bitten,N,"""A small shark""",bite,f
2017.07.20.c,20-Jul-2017,2017.0,Invalid,USA,South Carolina,Swimming,F,8,Foot injured,,Shark involvement not confirmed,bite,f
2017.07.20.b,20-Jul-2017,2017.0,Boating,USA,California,Kayaking,M,40,"No injury, kayak bitten",N,"White shark, 11' to 13'",no injury,m
2017.07.20.a,20-Jul-2017,2017.0,Unprovoked,USA,California,SUP,M,50,"No injury, shark bit paddleboard",N,"White shark, 8' to 10'",no injury,m
2017.07.14.b,14-Jul-2017,2017.0,Unprovoked,USA,Washington,Surfing,M,,Pulled off board by shark but no injury,N,"White shark, 9'",no injury,m
2017.07.14.a,14-Jul-2017,2017.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,,"Minor injury, grazed by shark",N,,bite,m
2017.07.11,11-Jul-2017,2017.0,Boating,USA,California,Kayaking,M,,"No injury, kayak bitten",N,White shark,no injury,m
2017.07.09,09-Jul-2017,2017.0,Unprovoked,USA,Florida,Swimming,M,46,Lower legs bitten,N,"Bull shark, 4' to 5'",bite,m
2017.07.07.R,Reported 07-Jul-2017,2017.0,Provoked,MEXICO,Tabasco,Fishing,M,32,Hand bitten by hooked shark PROVOKED INCIDENT,N,"Tiger shark, 100 kg",bite,m
2017.07.07,07-Jul-2017,2017.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,F,13,"No injury, shark bit surfboard",N,"White shark, 2.5 m",no injury,f
2017.07.02,02-Jul-2017,2017.0,Invalid,COMOROS,Anjouan,Fishing,,,"Skull found in shark, a probable drowning & scavenging",,Shark involvement prior to death not confirmed,bite,
2017.06.29,29-Jun-2017,2017.0,Invalid,USA,South Carolina,Fishing,M,,"Arm injured by hook, not by a shark",,No shark invovlement ,bite,m
2017.06.21,21-Jun-2017,2017.0,Unprovoked,USA,South Carolina,Swimming,F,16,Left foot bitten,N,,bite,f
2017.06.19,19-Jun-2017,2017.0,Unprovoked,USA,Florida,Surfing,M,,1 to 2-inch laceration behind knee,N,,bite,m
2017.06.18.b,18-Jun-2017,2017.0,Unprovoked,USA,South Carolina,Swimming,F,14,Leg bitten,N,"Bull shark, 4' to 5'",bite,f
2017.06.18.a,18-Jun-2017,2017.0,Unprovoked,REUNION,,Body boarding,M,34,"No injury, shark bit surfboard ",N,"Bull shark, 2m",no injury,m
2017.06.17,17-Jun-2017,2017.0,Unprovoked,SPAIN,Ibiza Island,Swimming,M,82,2-inch laceration to hand,N,,bite,m
2017.06.05,2017.06.05,2017.0,Unprovoked,FRENCH POLYNESIA,Marquesas,Surfing,M,,Injuries to hand and wrist,N,,bite,m
2017.06.14.R,Reported 14-Jun-2017,2017.0,Unprovoked,BAHAMAS,,Feeding sharks,F,,Fingernail pulled off ,N,,bite,f
2017.06.11,11-Jun-2017,2017.0,Unprovoked,AUSTRALIA,Western Australia,Body boarding,M,48,"No injury, board bitten",N,"White shark, 4 m",no injury,m
2017.06.10.b,10-Jun-2017,2017.0,Unprovoked,AUSTRALIA,Victoria,Surfing,F,,"No injury, knocked off board",N,Seven-gill shark,no injury,f
2017.06.10.a,10-Jun-2017,2017.0,Unprovoked,USA,Florida,Surfing,M,19,Laceration to left foot,N,,bite,m
2017.06.07.R,Reported 07-Jun-2017,2017.0,Unprovoked,UNITED KINGDOM,South Devon,Surfing ,M,30,"Bruise to leg, cuts to hand sustained when he hit the shark",N,"3m shark, probably a smooth hound",bite,m
2017.06.04,04-Jun-2017,2017.0,Unprovoked,USA,Florida,Spearfishing,M,,Laceration to shin,N,8' shark,bite,m
2017.06.02,02-Jun-2017,2017.0,Unprovoked,BAHAMAS,New Providence ,Snorkeling,F,32,Right forearm severed ,N,Tiger shark,bite,f
2017.05.30,30-May-2017,2017.0,Provoked,USA,South Carolina,Touching a shark,F,20,Right hand bitten by hooked shark PROVOKED INCIDENT,N,3' shark,bite,f
2017.05.28,28-May-2017,2017.0,Unprovoked,USA,Florida,Feeding sharks,M,,Lacerations to right arm,N,Tiger shark,bite,m
2017.05.27,27-May-2017,2017.0,Invalid,AUSTRALIA,New South Wales,Fishing ,M,73,Abrasion to right forearm from pectoral fin of a shark that leapt into his boat,N,,bite,m
2017.05.12,12-May-2017,2017.0,Unprovoked,UNITED ARAB EMIRATES,"Sharjah, ",Spearfishing,M,41,Right leg severely bitten,N,,bite,m
2017.05.06.R,Reported 06-May-2017,2017.0,Provoked,AUSTRALIA,Queensland,Attempting to lasso a shark,M,29,Thigh nipped PROVOKED INCIDENT,N,9' shark,bite,m
2017.05.06,05-May-2017,2017.0,Unprovoked,MEXICO,Baja California Sur,Snorkeling,M,33,FATAL,Y,,death,m
2017.05.03,03-May-2017,2017.0,Invalid,USA,California,Surfing,F,18,"Laceration to thigh, likely caused by surfboard fin",,Shark involvement highly doubtful,bite,f
2017.04.29.d,29-Apr-2017,2017.0,Unprovoked,USA,California,Swimming,F,,Major injury to posterior thigh,N,,bite,f
2017.04.29.c,29-Apr-2017,2017.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,14,Minor injury to right calf,N,,bite,m
2017.04.29.b,29-Apr-2017,2017.0,Unprovoked,USA,South Carolina,Surfing,F,33,Left foot bitten,N,,bite,f
2017.04.29.a,29-Apr-2017,2017.0,Unprovoked,REUNION,Saint-Leu,Body boarding,M,28,FATAL,Y,,death,m
2017.04.27,27-Apr-2017,2017.0,Unprovoked,NEW ZEALAND,South Island,Body boarding,F,20s,Puncture wounds & laceration above knee,N,,bite,f
2017.04.26,26-Apr-2017,2017.0,Invalid,USA,Florida,Photo shoot,F,,Alleged laceration to left ankle,,No shark invovlement - it ws a publicity stunt,bite,f
2017.04.22,22-Apr-2017,2017.0,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,Snorkeling,F,40,Calf & foot bitten,N,,bite,f
2017.04.20,20-Apr-2017,2017.0,Invalid,USA,South Carolina,Swimming,M,,Laceration & puncture wounds to left foot,,Shark involvement not confirmed,bite,m
2017.04.17.b,17-Apr-2017,2017.0,Unprovoked,USA,Florida,,,,Minor bite to the foot,N,,bite,
2017.04.17.a,17-Apr-2017,2017.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,F,17,FATAL,Y,White shark,death,f
2017.04.14,14-Apr-2017,2017.0,Unprovoked,USA,Hawaii,Surfing,M,28,Lower right leg severely injured,N,"Tiger shark, 12'",bite,m
2017.04.13,13-Apr-2017,2017.0,Unprovoked,USA,Florida,Surfing,M,17,Lacerations to right foot,N,,bite,m
2017.04.12.b,12-Apr-2017,2017.0,Unprovoked,USA,Florida,Surfing,F,,Lacerations to right foot,N,,bite,f
2017.04.12.a,12-Apr-2017,2017.0,Invalid,SOUTH AFRICA,KwaZulu-Natal,Scuba Diving,M,68,"Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.",,Shark involvement prior to death not confirmed,death,m
2017.04.11,11-Apr-2017,2017.0,Unprovoked,USA,Florida,Surfing,F,35,Calf bitten,N,,bite,f
2017.04.10.b,10-Apr-2017,2017.0,Unprovoked,USA,Florida,Paddle boarding,F,10,Laceration to calf,N,,bite,f
2017.04.10.a,10-Apr-2017,2017.0,Unprovoked,USA,Florida,Swimming,F,21,Minor injury to left hand,N,,bite,f
2017.04.06,06-Apr-2017,2017.0,Unprovoked,USA,Florida,Swimming,M,16,Foot injured,N,,bite,m
2017.04.05,05-Apr-2017,2017.0,Unprovoked,USA,Florida,Swimming,F,51,"Thigh nipped, minor injury",N,,bite,f
2017.04.02.b,02-Apr-2017,2017.0,Unprovoked,AUSTRALIA,Queensland,Kakaying,M,39,"No injury, shark bit off stern of kayak",N,,no injury,m
2017.04.02.a,02-Apr-2017,2017.0,Unprovoked,USA,Florida,Swimming,F,17,Lacerations to thighs,N,"Bull shark, 5' to 7'",bite,f
2017.03.27,27-Mar-2017,2017.0,Unprovoked,USA,Florida,Surfing,M,58,Minor injury to left foot,N,,bite,m
2017.03.19,19-Mar-2017,2017.0,Unprovoked,AUSTRALIA,New South Wales,Body boarding,M,30,Minor,N,,bite,m
2017.03.18,18-Mar-2017,2017.0,Boating,USA,California,Kayaking,M,,"No injury, kayak bitten",N,White shark,no injury,m
2017.03.11,11-Mar-2017,2017.0,Unprovoked,PHILIPPINES,Luzon Island,Spearfishing,M,25,Right thigh injured ,N,10' shark,bite,m
2017.03.09,Reported 09-Mar-2017,2017.0,Unprovoked,BAHAMAS,Great Exuma,Washing hands,M,58,Abrasions & lacerations to left leg and hand,N,Lemon shark,bite,m
2017.02.25,25-Feb-2017,2017.0,Unprovoked,AUSTRALIA,Western Australia,Snorkeling,F,,Hand bitten,N,"Bull shark, 1.5",bite,f
2017.02.24,24-Feb-2017,2017.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,,"No injury, shark struck board",N,,no injury,m
2017.02.21,21-Feb-2017,2017.0,Unprovoked,REUNION,Saint-Andre,Body boarding,M,26,Fatal,Y,,death,m
2017.02.17,17-Feb-2017,2017.0,Unprovoked,AUSTRALIA,Queensland,Spearfishing,M,26,Left leg severely bitten,N,,bite,m
2017.02.11,11-Feb-2017,2017.0,Unprovoked,USA,Florida,Swimming,M,22,Injury to hand,N,,bite,m
2017.02.06.b,06-Feb-2017,2017.0,Provoked,BRAZIL,Pernambuco,Grabbing shark for a selfie,F,,"Minor injury to finger, PROVOKED INCIDENT",N,Lemon shark pup,bite,f
2017.02.06.a,06-Feb-2017,2017.0,Boating,SOUTH AFRICA,KwaZulu-Natal,Kayak fishing,M,,"Shark damaged kayak, no injury to occupant",N,Tiger shark,no injury,m
2017.02.01.b,01-Feb-2017,2017.0,Boating,USA,South Carolina,Tagging sharks,,,"Shark bit boat, no injury to occupants",N,"White shark, female, 14'",no injury,
2017.02.01.a,01-Feb-2017,2017.0,Unprovoked,BAHAMAS,Bimini,Scuba Diving,M,37,Lacerations to upper right arm,N,Caribbean reef shark,bite,m
2017.01.24,24-Jan-2017,2017.0,Unprovoked,BRAZIL,Pernambuco,Swimming,M,21,Minor laceration to ring finger,N,,bite,m
