clean_date,country,age_2,sex,injury,fatal,activity_verb2
March,BAHAMAS,9.0,M,Minor injury to chest PROVOKED INCIDENT,N,other activity
March,USA,,,Board reportedly bumped by shark. No injury,,surfing
March,USA,19.0,M,Lacerations to right foot and ankle,N,surfing
March,Fiji,45.0,M,FATAL,Y,swimming
March,USA,12.0,M,Superficial injury to foot,N,other activity
March,AUSTRALIA,,M,Puncture wounds to right calf,N,fishing
March,BRAZIL,41.0,M,Minor injury to head,N,swimming
February,NEW CALEDONIA,21.0,M,Puncture wounds to right thigh,N,surfing
February,NEW CALEDONIA,31.0,M,Forearm bitten,N,fishing
February,DOMINICAN REPUBLIC,,F,Avulsion injury to lower leg,N,Close to the water
February,CAYMAN ISLANDS,65.0,M,Minor injury to wrist from Southern stingray,,other activity
February,AUSTRALIA,,M,"No injury, knocked off board",,surfing
February,AUSTRALIA,45.0,F,Foot nipped,N,Close to the water
February,AUSTRALIA,40.0,M,"No injury, shark bit board",N,surfing
February,BRAZIL,41.0,M,Lacerations to scalp,N,swimming
January,SOUTH AFRICA,,M,"No injury, shark capsized kayak",N,fishing
January,USA,,M,Lacerations to both hands,N,surfing
January,USA,15.0,F,No injury,N,surfing
January,USA,,M,"Bruised ribs & tail bone, speargun broken and wetsuit cut",N,fishing
January,UNITED ARAB EMIRATES,,M,"No injury to occupants, shark leapt into boat",N,fishing
January,USA,48.0,M,No injury,N,surfing
January,AUSTRALIA,,M,Laceration to right foot,N,surfing
January,AUSTRALIA,11.0,M,Laceration to right calf,N,Close to the water
January,AUSTRALIA,31.0,M,Lacerations to arms & leg,N,fishing
December,SOUTH AFRICA,,M,"No injury, kayak damaged",N,fishing
December,SPAIN,38.0,F,Lacerations to left forearm,N,swimming
December,USA,71.0,M,"No injury, shark bit board",N,surfing
December,AUSTRALIA,43.0,M,"No injury, shark leapt on surfboard",N,surfing
December,BRAZIL,32.0,M,Right hand & part of forearm removed,N,swimming
December,ARUBA,58.0,M,FATAL,Y,other activity
December,AUSTRALIA,,,"No injury, shark rammed boat & bit motor",N,fishing
December,BAHAMAS,26.0,M,"Bitten on thigh, abdomen & hand",N,fishing
December,SOUTH AFRICA,22.0,F,Lacerations to both hands and forearms,N,swimming
November,ECUADOR,55.0,M,Lacerations to left calf,N,swimming
November,USA,,M,Right heel injured,N,surfing
November,USA,,F,Leg injured,N,swimming
November,USA,28.0,M,Lacerations to hand,N,surfing
November,AUSTRALIA,20.0,M,Injury to left thigh,N,surfing
November,USA,9.0,F,Lower left leg injured,,surfing
November,USA,54.0,M,Laceration to right ankle,N,swimming
November,USA,28.0,F,Injury to right ankle/calf & hand,N,Close to the water
November,MOZAMBIQUE,19.0,M,"Arms severely injured, surgically amputated",N,fishing
October,AUSTRALIA,50.0,M,Minor injury,N,fishing
October,USA,10.0,M,"Lacerations & puncture wounds to right thigh, calf & ankle",N,surfing
October,SOUTH AFRICA,42.0,M,"Lacerations to right calf, knee & hip",N,surfing
October,USA,21.0,M,Lacerations to left hand,N,surfing
October,USA,21.0,M,Left foot bitten,N,surfing
October,MOZAMBIQUE,35.0,F,FATAL,Y,fishing
October,USA,32.0,M,Left foot bitten by eel,,surfing
October,USA,44.0,M,Severe injuries to lower legs. Foot later surgically amputated.,N,swimming
October,USA,,M,"No injury, shark rammed kayak repeatedly",N,fishing
October,USA,9.0,F,Laceration to forearm,N,surfing
October,USA,25.0,M,"Left leg severed below the knee, defense injuries to left hand",N,surfing
October,MOZAMBIQUE,,M,"Arm severely injured, surgically amputated",N,fishing
October,AUSTRALIA,18.0,M,Foot injured,N,surfing
October,USA,22.0,M,2 lacerations to ankle,N,surfing
October,USA,13.0,M,Foot & hands bitten,N,Close to the water
October,USA,14.0,M,Severe lacerations to left hand,N,surfing
September,USA,22.0,M,"Laceration to heel, puncture wounds to dorsum of foot",N,surfing
September,AUSTRALIA,7.0,F,Laceration to leg,N,swimming
September,USA,,M,"No injury, kayak damaged",N,fishing
September,USA,14.0,M,Minor injury to left ankle,N,surfing
September,USA,27.0,M,Severe laceration to left leg,N,fishing
September,USA,12.0,M,Significant injuries to leg,N,Close to the water
September,USA,16.0,M,Injury to right hand / wrist,N,other activity
September,USA,,M,No injury,N,fishing
September,USA,,M,Lacerations to calf,N,swimming
September,USA,20.0,M,Injury to right foot,N,surfing
September,AUSTRALIA,42.0,M,Minor laceration to hand,N,surfing
September,USA,50.0,F,"No injury, shark struck board, tossing her into the sea",N,surfing
September,USA,29.0,M,Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT,N,fishing
September,AUSTRALIA,62.0,M,Inuries to lower left leg & ankle,N,vessel related
September,USA,,M,Right foot bitten,N,other activity
September,THAILAND,37.0,F,Left foot & ankle bitten,N,Close to the water
September,FIJI,,M,Leg bitten,N,fishing
August,USA,54.0,F,"No injury, surfboard bitten",N,surfing
August,USA,21.0,M,"No injury, shark struk sufer's leg and his board",N,surfing
August,USA,,M,Wound to right lower leg,,other activity
August,AUSTRALIA,38.0,M,Severe laceration to left buttock & thigh,N,surfing
August,USA,15.0,M,"Injuries to left calf, arm and hand",N,surfing
August,USA,10.0,F,Lacerations to right leg,N,Close to the water
August,USA,22.0,M,"No injury, kayak bitten",N,fishing
August,SPAIN,10.0,M,Minor injury when he attempted to touch a fish. ,,swimming
August,USA,57.0,M,Right hand bitten  PROVOKED INCIDENT,N,fishing
July,AUSTRALIA,52.0,M,"Lacerations and puncture wounds to hip, thigh, arm and hand",N,surfing
July,COSTA RICA,47.0,M,Minor inuries to toes,N,surfing
July,AUSTRALIA,40.0,M,Injury to hand,,surfing
July,USA,25.0,M,Minor injury to sole of foot,N,surfing
July,USA,35.0,F,"2' cut to dorsum of foot, 2 puncture wounds to sole",,swimming
July,AUSTRALIA,46.0,M,FATAL,Y,swimming
July,USA,31.0,M,No injury to occupant. Kayak bitten by gaffed shark. PROVOKED INCIDENT,N,fishing
July,AUSTRALIA,40.0,M,Left hand bitten,N,surfing
July,REUNION,45.0,M,Arm bitten,N,surfing
July,SOUTH AFRICA,34.0,M,No injury,N,surfing
July,USA,38.0,M,"No injury, shark bumped & damaged board",N,surfing
July,USA,39.0,M,Laceration to back,,Close to the water
July,FRENCH POLYNESIA,,M,Parallel lacerations to torso inconsistent with shark bite,,swimming
July,BAHAMAS,23.0,F,Lacerations to lower leg & ankle,N,fishing
July,USA,32.0,M,Lacerations to right hand & forearm,N,other activity
July,AUSTRALIA,52.0,M,"No injury, shark bit surfboard",N,surfing
July,AUSTRALIA,32.0,M,Significant injuries to lower legs,N,surfing
July,USA,68.0,M,"Injuries to torso, hip, lower leg & hands",N,swimming
June,AUSTRALIA,,M,Hand bitten,N,surfing
June,USA,12.0,M,Shallow lacerations & puncture to lateral left leg,N,other activity
June,USA,18.0,M,"Injuries to right calf, buttock and both hands",N,swimming
June,SOUTH AFRICA,19.0,M,"Right leg severed, multiple lacerations to left leg",N,surfing
June,USA,,F,Minor lacerations to leg,,swimming
June,SOUTH AFRICA,23.0,M,Multiple lacerations to torso & leg,N,surfing
June,USA,43.0,M,Puncture wounds to foot,N,Close to the water
June,AUSTRALIA,19.0,M,Minor lacerations to forearm when he grabbed shark by its tail     PROVOKED INCIDENT,N,swimming
June,USA,47.0,M,Multiple lacerations to back,N,surfing
June,USA,6.0,M,Minor injury to foot,N,swimming
June,AUSTRALIA,37.0,F,"Bruises and abrasions to face, chin, chest, both shins & feet and cut to right hand when her surfboard was struck with force",N,surfing
June,USA,9.0,M,Minor injury to calf ,N,Close to the water
June,PUERTO RICO,36.0,M,Injury to hand,N,fishing
June,USA,10.0,M,Minor injury to calf ,N,swimming
June,USA,16.0,M,Arm amputated below shoulder,N,Close to the water
June,USA,12.0,F,Left arm amputated at elbow & severe injury to leg,N,Close to the water
June,USA,,F,Severe laceration to leg,N,other activity
June,USA,13.0,F,Minor lacerations to foot,N,surfing
June,USA,11.0,M,Lacerations to right calf,N,other activity
June,USA,17.0,F,Puncture wound to finger,N,other activity
June,REUNION,47.0,M,Left forearm bitten,N,surfing
May,USA,14.0,F,Left foot bitten,N,Close to the water
May,USA,19.0,F,Minor lacerations to dorsum of right foot,N,Close to the water
May,FRENCH POLYNESIA,19.0,M,Lacerations to right forearm,N,fishing
May,USA,13.0,F,"Puncture wounds to lower left leg and ankle, shallow lacerations to foot, deep laceration to Achilles tendon",N,swimming
May,USA,18.0,M,2 puncture wounds to  dorsum of left foot,N,surfing
May,USA,30.0,M,Laceration to foot ,N,other activity
May,NEW CALEDONIA,50.0,M,FATAL,Y,swimming
